log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-amostra0.csv', 2, 0.005576167756147771, 43, 39, 105, 15, 0.614, 0.741, 0.524
'p2p-0.3-1-amostra0.csv', 2, 0.2257588792128998, 58, 143, 1, 0, 0.448, 1.0, 0.289
'p2p-0.3-1-amostra0.csv', 2, 0.22614018181352627, 58, 142, 1, 0, 0.45, 1.0, 0.29
'p2p-0.3-1-amostra0.csv', 2, 0.005656424971098583, 50, 38, 105, 8, 0.685, 0.862, 0.568
'p2p-0.3-1-amostra0.csv', 2, 0.0052822471431925614, 45, 25, 118, 12, 0.709, 0.789, 0.643
'total', 2, 0.09368278017937301, 254, 387, 330, 35, 0.581, 0.878, 0.463
