log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-usuarios-nolle.csv', 1, 0.012079883979437005, 268, 397, 316, 21, 0.562, 0.927, 0.403
'p2p-0.3-1-usuarios-nolle.csv', 1, 0.012234467580223606, 278, 470, 242, 11, 0.537, 0.962, 0.372
'p2p-0.3-1-usuarios-nolle.csv', 1, 0.011975005278411806, 272, 434, 278, 17, 0.546, 0.941, 0.385
