log,nome,limiar,TP,FP,TN,FN,F1-score,recall,precision
'p2p-0.3-1-amostra0.csv', 1, 0.011770906913698203, 56, 93, 51, 2, 0.541, 0.966, 0.376
'p2p-0.3-1-amostra0.csv', 1, 0.22880880046296653, 58, 143, 1, 0, 0.448, 1.0, 0.289
'p2p-0.3-1-amostra0.csv', 1, 0.011951340786824211, 57, 71, 72, 1, 0.613, 0.983, 0.445
'p2p-0.3-1-amostra0.csv', 1, 0.01246706761168372, 56, 90, 53, 2, 0.55, 0.966, 0.384
'p2p-0.3-1-amostra0.csv', 1, 0.2262725237553824, 57, 142, 1, 0, 0.445, 1.0, 0.286
'total', 1, 0.09825412790611102, 284, 539, 178, 5, 0.519, 0.983, 0.356
